ApplNo#ProductNo#Form#Strength#ReferenceDrug#DrugName#ActiveIngredient#ReferenceStandard#MarketingStatusID#TECode#MarketingStatusDescription
3444#1#CAPSULE;ORAL#50,000 IU#1#DRISDOL#ERGOCALCIFEROL#1.0#1#AA#Prescription
5010#1#TABLET;ORAL#50MG#1#DEMEROL#MEPERIDINE HYDROCHLORIDE#1.0#1#AA#Prescription
5010#4#TABLET;ORAL#100MG#1#DEMEROL#MEPERIDINE HYDROCHLORIDE#1.0#1#AA#Prescription
5378#2#TABLET;ORAL#5MG#1#DESOXYN#METHAMPHETAMINE HYDROCHLORIDE#1.0#1#AA#Prescription
5929#1#INJECTABLE;INJECTION#1MG/ML#1#D.H.E. 45#DIHYDROERGOTAMINE MESYLATE#1.0#1#AP#Prescription
6035#4#INJECTABLE;INJECTION#0.2MG/ML#1#METHERGINE#METHYLERGONOVINE MALEATE#1.0#1#AP#Prescription
6134#2#TABLET;ORAL#5MG#1#DOLOPHINE HYDROCHLORIDE#METHADONE HYDROCHLORIDE#1.0#1#AA#Prescription
6134#10#TABLET;ORAL#10MG#1#DOLOPHINE HYDROCHLORIDE#METHADONE HYDROCHLORIDE#1.0#1#AA#Prescription
6188#1#TABLET;ORAL#50MG#1#PROPYLTHIOURACIL#PROPYLTHIOURACIL#1.0#1#BD#Prescription
6488#2#INJECTABLE;INJECTION#2%#1#XYLOCAINE#LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#4#INJECTABLE;INJECTION#0.01MG/ML;1%#1#XYLOCAINE W/ EPINEPHRINE#EPINEPHRINE; LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#5#INJECTABLE;INJECTION#0.02MG/ML;2%#1#XYLOCAINE W/ EPINEPHRINE#EPINEPHRINE; LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#7#INJECTABLE;INJECTION#1%#1#XYLOCAINE#LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#8#INJECTABLE;INJECTION#0.5%#1#XYLOCAINE#LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#10#INJECTABLE;INJECTION#1.5%#1#XYLOCAINE#LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#12#INJECTABLE;INJECTION#0.005MG/ML;0.5%#1#XYLOCAINE W/ EPINEPHRINE#EPINEPHRINE; LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#17#INJECTABLE;INJECTION#0.005MG/ML;1.5%#1#XYLOCAINE W/ EPINEPHRINE#EPINEPHRINE; LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
6488#19#INJECTABLE;INJECTION#0.005MG/ML;2%#1#XYLOCAINE W/ EPINEPHRINE#EPINEPHRINE; LIDOCAINE HYDROCHLORIDE#1.0#1#AP#Prescription
7073#1#TABLET;ORAL#500MG#1#AZULFIDINE#SULFASALAZINE#1.0#1#AB#Prescription
7073#2#TABLET, DELAYED RELEASE;ORAL#500MG#1#AZULFIDINE EN-TABS#SULFASALAZINE#1.0#1#AB#Prescription
7337#7#TABLET;ORAL#325MG;4.8355MG#1#PERCODAN#ASPIRIN; OXYCODONE HYDROCHLORIDE#1.0#1#AA#Prescription
7409#1#TABLET;ORAL#20MG#1#BENTYL#DICYCLOMINE HYDROCHLORIDE#1.0#1#AB#Prescription
